nome_arquivo,temperatura,motor_position,feed_rate,flow_rate
imagens_stream/image_2024-03-08_19-34-37-297.jpg,T:199.90 /200.00 B:50.00 /50.00 @:56 B@:16,X:10.40 Y:20.00 Z:2.00 E:0.00 Count X:832 Y:6794 Z:112,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-37-799.jpg,T:199.90 /200.00 B:50.00 /50.00 @:56 B@:16,X:10.40 Y:20.00 Z:2.00 E:0.00 Count X:832 Y:6794 Z:112,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-38-337.jpg,T:199.90 /200.00 B:50.00 /50.00 @:56 B@:16,X:10.40 Y:20.00 Z:2.00 E:0.00 Count X:832 Y:6794 Z:112,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-38-841.jpg,T:199.90 /200.00 B:50.00 /50.00 @:56 B@:16,X:10.40 Y:20.00 Z:2.00 E:0.00 Count X:832 Y:6794 Z:112,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-39-379.jpg,T:199.89 /200.00 B:49.99 /50.00 @:57 B@:16,X:10.40 Y:20.00 Z:2.00 E:0.00 Count X:832 Y:6794 Z:112,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-39-923.jpg,T:199.89 /200.00 B:49.99 /50.00 @:57 B@:16,X:10.40 Y:20.00 Z:2.00 E:0.00 Count X:832 Y:6794 Z:112,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-40-460.jpg,T:199.89 /200.00 B:50.01 /50.00 @:57 B@:15,X:10.40 Y:20.00 Z:2.00 E:0.00 Count X:832 Y:6794 Z:112,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-40-962.jpg,T:199.89 /200.00 B:50.01 /50.00 @:57 B@:15,X:10.40 Y:20.00 Z:2.00 E:0.00 Count X:832 Y:6794 Z:112,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-41-503.jpg,T:199.88 /200.00 B:50.00 /50.00 @:57 B@:16,X:10.40 Y:20.00 Z:2.00 E:0.00 Count X:832 Y:6794 Z:112,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-42-043.jpg,T:199.79 /200.00 B:50.00 /50.00 @:58 B@:15,X:10.40 Y:20.00 Z:2.00 E:0.00 Count X:832 Y:6794 Z:112,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-42-543.jpg,T:199.79 /200.00 B:50.00 /50.00 @:58 B@:15,X:10.40 Y:20.00 Z:2.00 E:0.00 Count X:832 Y:6794 Z:112,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-43-044.jpg,T:199.77 /200.00 B:50.00 /50.00 @:58 B@:15,X:10.40 Y:20.00 Z:2.00 E:0.00 Count X:832 Y:6794 Z:112,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-43-555.jpg,T:199.77 /200.00 B:50.00 /50.00 @:58 B@:15,X:10.40 Y:20.00 Z:2.00 E:0.00 Count X:832 Y:6794 Z:112,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-44-086.jpg,T:199.75 /200.00 B:50.00 /50.00 @:58 B@:16,X:10.40 Y:20.00 Z:2.00 E:0.00 Count X:832 Y:6794 Z:112,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-44-624.jpg,T:199.75 /200.00 B:50.00 /50.00 @:58 B@:16,X:10.40 Y:20.00 Z:2.00 E:0.00 Count X:832 Y:6794 Z:112,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-45-126.jpg,T:199.71 /200.00 B:50.01 /50.00 @:59 B@:15,X:10.40 Y:20.00 Z:2.00 E:0.00 Count X:832 Y:6794 Z:112,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-45-667.jpg,T:199.71 /200.00 B:50.01 /50.00 @:59 B@:15,X:10.40 Y:20.00 Z:2.00 E:0.00 Count X:832 Y:6794 Z:112,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-46-219.jpg,T:199.67 /200.00 B:50.01 /50.00 @:59 B@:15,X:10.40 Y:20.00 Z:2.00 E:0.00 Count X:832 Y:6794 Z:112,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-46-749.jpg,T:199.67 /200.00 B:50.01 /50.00 @:59 B@:15,X:10.40 Y:20.00 Z:2.00 E:0.00 Count X:832 Y:6794 Z:112,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-47-267.jpg,T:199.69 /200.00 B:50.00 /50.00 @:58 B@:16,X:10.40 Y:20.00 Z:2.00 E:0.00 Count X:832 Y:6794 Z:112,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-47-792.jpg,T:199.69 /200.00 B:50.00 /50.00 @:58 B@:16,X:10.40 Y:20.00 Z:2.00 E:0.00 Count X:832 Y:6794 Z:112,echo:E0 Flow: 100%,FR:100%
